icecream_flavor,icecream_price,icecream_rating,customer_id,shop_city
cookies and cream,6.66,3,C4371,Campinas
cookies and cream,9.33,2,B5052,Ribeirão Pires
strawberry,4.73,3,A3907,Barueri
cookies and cream,4.89,3,C2318,Campinas
strawberry,5.01,4,D7337,São Paulo
pistachio,4.58,4,C6250,Ribeirão Pires
cookies and cream,7.64,4,C9360,São Paulo
cookies and cream,7.43,3,C6250,Ribeirão Pires
pistachio,6.54,3,A8641,Campinas
mint chocolate chips,9.65,2,C3529,Barueri
vanilla,3.08,4,B5004,Campinas
mint chocolate chips,7.81,1,C2949,Ribeirão Pires
strawberry,3.47,1,A8641,Campinas
strawberry,3.5,1,C9360,Barueri
vanilla,5.87,2,D8176,Campinas
strawberry,5.99,4,A2464,São Paulo
strawberry,4.32,1,C1904,Campinas
pistachio,9.49,3,C6739,São Paulo
mint chocolate chips,3.88,3,B5004,Barueri
chocolate,5.29,2,A1252,Campinas
vanilla,5.94,4,D6506,Barueri
chocolate,8.68,4,C4371,Campinas
cookies and cream,5.19,1,B6646,Ribeirão Pires
cookies and cream,6.13,2,D9444,Ribeirão Pires
chocolate,8.67,3,A3078,Barueri
vanilla,9.73,3,C2949,Campinas
pistachio,3.09,2,C2949,Barueri
chocolate,7.3,4,A5289,Campinas
chocolate,1.8,1,B2148,Campinas
cookies and cream,8.74,1,B4252,São Paulo
strawberry,1.01,2,A1234,São Paulo
cookies and cream,9.77,4,C2949,Barueri
cookies and cream,6.43,4,A5289,Campinas
pistachio,3.18,3,C9360,Barueri
cookies and cream,6.38,3,C4371,Ribeirão Pires
chocolate,5.47,3,D6506,Campinas
pistachio,9.91,1,C6739,Ribeirão Pires
mint chocolate chips,1.22,3,D1025,Barueri
mint chocolate chips,4.23,3,B5004,São Paulo
cookies and cream,2.94,2,A5289,Campinas
cookies and cream,1.76,2,B4252,São Paulo
mint chocolate chips,6.04,2,B6646,Ribeirão Pires
mint chocolate chips,1.31,1,A5289,Campinas
pistachio,5.91,4,B3946,Ribeirão Pires
chocolate,7.06,1,D6895,São Paulo
cookies and cream,2.73,3,D5888,Barueri
cookies and cream,2.03,2,D6506,São Paulo
mint chocolate chips,3.81,3,D5888,Ribeirão Pires
pistachio,6.39,2,A5346,Campinas
cookies and cream,9.33,1,C1904,Ribeirão Pires
vanilla,8.35,2,D7337,São Paulo
chocolate,3.96,2,D7337,São Paulo
pistachio,2.68,4,B5052,São Paulo
mint chocolate chips,8.78,2,C3529,São Paulo
vanilla,7.89,4,D7337,São Paulo
vanilla,5.11,2,A5346,Campinas
cookies and cream,9.57,4,D2572,Ribeirão Pires
cookies and cream,6.55,1,C9360,São Paulo
pistachio,2.49,4,B2164,São Paulo
mint chocolate chips,5.52,1,A1252,Ribeirão Pires
chocolate,9.87,3,B4252,Campinas
strawberry,2.16,4,D2572,São Paulo
pistachio,6.78,1,C4371,Barueri
pistachio,6.2,2,A5346,São Paulo
chocolate,2.2,1,B4383,Ribeirão Pires
mint chocolate chips,8.08,4,C4371,Ribeirão Pires
cookies and cream,5.19,3,C6739,Barueri
mint chocolate chips,7.03,1,C3529,Barueri
cookies and cream,1.36,4,B4383,Campinas
chocolate,3.38,1,D1025,São Paulo
strawberry,2.03,2,C2949,São Paulo
mint chocolate chips,1.86,1,B4383,Barueri
mint chocolate chips,1.69,4,C6739,Campinas
pistachio,8.99,3,A1252,Ribeirão Pires
cookies and cream,8.59,1,C6739,Ribeirão Pires
chocolate,3.37,2,D9444,Campinas
vanilla,6.66,3,B8212,Barueri
mint chocolate chips,3.83,2,B8212,Ribeirão Pires
chocolate,7.76,4,B2164,Barueri
vanilla,2.69,4,B5052,Ribeirão Pires
strawberry,4.17,1,C6250,Barueri
pistachio,2.69,2,C1904,Barueri
strawberry,9.9,4,C6739,Campinas
cookies and cream,7.58,2,D8176,Barueri
vanilla,4.1,4,C6250,Barueri
chocolate,7.2,2,D8176,Barueri
strawberry,6.13,3,D3516,Campinas
mint chocolate chips,2.54,3,A2464,Campinas
vanilla,6.65,1,A8641,Barueri
chocolate,6.75,1,B4383,Ribeirão Pires
strawberry,4.78,2,B6646,Barueri
vanilla,8.48,4,D1025,Ribeirão Pires
pistachio,8.82,4,A1234,Ribeirão Pires
pistachio,9.84,3,B6646,Ribeirão Pires
mint chocolate chips,1.39,4,A3078,Campinas
pistachio,3.13,3,D2572,São Paulo
vanilla,6.85,2,D9444,Barueri
strawberry,6.94,1,C3529,Barueri
vanilla,6.38,2,B3946,Ribeirão Pires
chocolate,3.95,3,C6505,Barueri
chocolate,1.18,2,D1025,São Paulo
mint chocolate chips,1.61,2,B3946,Ribeirão Pires
strawberry,8.94,3,A9787,Campinas
vanilla,4.06,2,C7950,Barueri
pistachio,4.2,4,D7337,Barueri
chocolate,6.3,2,C2949,Campinas
vanilla,9.23,2,C6505,Campinas
pistachio,3.03,4,A5346,Barueri
vanilla,8.83,1,B8212,Ribeirão Pires
vanilla,5.6,1,B5004,Barueri
pistachio,9.35,2,C7950,São Paulo
strawberry,9.28,1,B5052,Ribeirão Pires
vanilla,9.28,1,B5052,Campinas
vanilla,2.21,4,B5911,Campinas
mint chocolate chips,4.99,3,C6505,Campinas
pistachio,6.94,3,A1234,Barueri
mint chocolate chips,8.39,2,D7337,Campinas
vanilla,6.04,3,D6107,São Paulo
mint chocolate chips,6.29,3,A5289,Barueri
pistachio,6.08,2,B6646,São Paulo
mint chocolate chips,8.81,3,C1904,Barueri
chocolate,9.81,2,D6107,Campinas
cookies and cream,8.5,1,D8176,Ribeirão Pires
vanilla,8.41,1,D7337,São Paulo
strawberry,8.43,1,B3946,Campinas
chocolate,8.27,1,A1234,Barueri
cookies and cream,1.47,4,B2164,Barueri
strawberry,4.08,2,A9787,Campinas
vanilla,3.08,1,B5911,Ribeirão Pires
vanilla,7.95,3,A9787,Campinas
chocolate,4.0,4,A5289,Campinas
chocolate,3.57,1,B5004,Barueri
chocolate,9.43,2,C1904,Barueri
cookies and cream,8.93,4,D2572,São Paulo
mint chocolate chips,7.19,4,C6505,Barueri
chocolate,3.97,3,B5052,São Paulo
vanilla,7.01,1,B4252,Barueri
mint chocolate chips,2.27,4,C1904,São Paulo
vanilla,9.22,3,B2148,São Paulo
strawberry,4.78,1,A8639,São Paulo
strawberry,7.98,2,D6506,Ribeirão Pires
vanilla,8.1,4,C6739,Barueri
strawberry,8.73,1,A1234,Barueri
vanilla,6.35,2,A1252,Barueri
chocolate,4.81,1,A2464,São Paulo
strawberry,1.39,1,C9360,Barueri
pistachio,7.92,4,C9360,São Paulo
strawberry,7.6,4,B6646,Campinas
pistachio,3.43,4,D3516,Campinas
vanilla,3.16,4,D9444,Ribeirão Pires
chocolate,6.17,2,B4252,Ribeirão Pires
mint chocolate chips,4.78,3,D2572,Barueri
mint chocolate chips,8.29,2,B4383,Barueri
mint chocolate chips,3.12,1,A9787,Campinas
pistachio,6.68,4,A1234,Barueri
strawberry,1.7,4,C2318,Campinas
strawberry,5.75,1,B4252,Ribeirão Pires
pistachio,5.29,3,A3907,Barueri
vanilla,5.47,1,C9360,Ribeirão Pires
strawberry,1.8,3,B4252,Ribeirão Pires
mint chocolate chips,4.57,2,B2164,Barueri
chocolate,5.92,3,B5052,Barueri
cookies and cream,2.2,1,A3078,Campinas
cookies and cream,6.1,2,C2318,Barueri
cookies and cream,1.35,1,C6739,Barueri
chocolate,4.16,2,B5004,São Paulo
pistachio,8.53,4,B5052,São Paulo
mint chocolate chips,7.52,1,D5888,Ribeirão Pires
strawberry,9.57,4,D7337,Ribeirão Pires
cookies and cream,6.05,1,A9787,Ribeirão Pires
strawberry,9.66,4,B5052,Barueri
chocolate,8.7,2,B8212,Barueri
vanilla,5.07,4,C3529,Ribeirão Pires
pistachio,6.25,3,A9787,Barueri
mint chocolate chips,8.6,4,C4371,Barueri
mint chocolate chips,3.06,4,B4383,Barueri
vanilla,3.57,1,C2318,São Paulo
chocolate,6.94,1,D2572,São Paulo
chocolate,5.36,2,A9787,Campinas
mint chocolate chips,1.31,4,C2318,Ribeirão Pires
vanilla,7.05,1,B5004,Campinas
